,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf
14701,31.9,41.1,9,0,0,0,0,0,0,10,8
14702,30.9,41.1,9,0,0,0,0,0,0,11,8
14703,29.9,41.1,9,0,0,0,0,0,0,12,8
14704,39.9,41.1,9,0,0,0,0,0,0,1,9
14705,38.9,41.1,9,0,0,0,0,0,0,2,9
14706,37.9,41.1,9,0,0,0,0,0,0,3,9
14707,36.9,41.1,9,0,0,0,0,0,0,4,9
14708,35.9,41.1,9,0,0,0,0,0,0,5,9
14709,34.9,41.1,9,0,0,0,0,0,0,6,9
14710,33.9,41.1,9,0,0,0,0,0,0,7,9
14711,32.9,41.1,9,0,0,0,0,0,0,8,9
14712,31.9,41.1,9,0,0,0,0,0,0,9,9
14713,30.9,41.1,9,0,0,0,0,0,0,10,9
14714,29.9,41.1,9,0,0,0,0,0,0,11,9
14715,39.9,41.1,9,0,0,0,0,0,0,0,10
14716,38.9,41.1,9,0,0,0,0,0,0,1,10
14717,37.9,41.1,9,0,0,0,0,0,0,2,10
14718,36.9,41.1,9,0,0,0,0,0,0,3,10
14719,35.9,41.1,9,0,0,0,0,0,0,4,10
14720,34.9,41.1,9,0,0,0,0,0,0,5,10
14721,33.9,41.1,9,0,0,0,0,0,0,6,10
14722,32.9,41.1,9,0,0,0,0,0,0,7,10
14723,31.9,41.1,9,0,0,0,0,0,0,8,10
14724,30.9,41.1,9,0,0,0,0,0,0,9,10
14725,29.9,41.1,9,0,0,0,0,0,0,10,10
14726,38.9,41.1,9,0,0,0,0,0,0,0,11
14727,37.9,41.1,9,0,0,0,0,0,0,1,11
14728,36.9,41.1,9,0,0,0,0,0,0,2,11
14729,35.9,41.1,9,0,0,0,0,0,0,3,11
14730,34.9,41.1,9,0,0,0,0,0,0,4,11
14731,33.9,41.1,9,0,0,0,0,0,0,5,11
14732,32.9,41.1,9,0,0,0,0,0,0,6,11
14733,31.9,41.1,9,0,0,0,0,0,0,7,11
14734,30.9,41.1,9,0,0,0,0,0,0,8,11
14735,29.9,41.1,9,0,0,0,0,0,0,9,11
14736,37.9,41.1,9,0,0,0,0,0,0,0,12
14737,36.9,41.1,9,0,0,0,0,0,0,1,12
14738,35.9,41.1,9,0,0,0,0,0,0,2,12
14739,34.9,41.1,9,0,0,0,0,0,0,3,12
14740,33.9,41.1,9,0,0,0,0,0,0,4,12
14741,32.9,41.1,9,0,0,0,0,0,0,5,12
14742,31.9,41.1,9,0,0,0,0,0,0,6,12
14743,30.9,41.1,9,0,0,0,0,0,0,7,12
14744,29.9,41.1,9,0,0,0,0,0,0,8,12
14745,36.9,41.1,9,0,0,0,0,0,0,0,13
14746,35.9,41.1,9,0,0,0,0,0,0,1,13
14747,34.9,41.1,9,0,0,0,0,0,0,2,13
14748,33.9,41.1,9,0,0,0,0,0,0,3,13
14749,32.9,41.1,9,0,0,0,0,0,0,4,13
14750,31.9,41.1,9,0,0,0,0,0,0,5,13
14751,30.9,41.1,9,0,0,0,0,0,0,6,13
14752,29.9,41.1,9,0,0,0,0,0,0,7,13
14753,35.9,41.1,9,0,0,0,0,0,0,0,14
14754,34.9,41.1,9,0,0,0,0,0,0,1,14
14755,33.9,41.1,9,0,0,0,0,0,0,2,14
14756,32.9,41.1,9,0,0,0,0,0,0,3,14
14757,31.9,41.1,9,0,0,0,0,0,0,4,14
14758,30.9,41.1,9,0,0,0,0,0,0,5,14
14759,29.9,41.1,9,0,0,0,0,0,0,6,14
14760,34.9,41.1,9,0,0,0,0,0,0,0,15
14761,33.9,41.1,9,0,0,0,0,0,0,1,15
14762,32.9,41.1,9,0,0,0,0,0,0,2,15
14763,31.9,41.1,9,0,0,0,0,0,0,3,15
14764,30.9,41.1,9,0,0,0,0,0,0,4,15
14765,29.9,41.1,9,0,0,0,0,0,0,5,15
14766,33.9,41.1,9,0,0,0,0,0,0,0,16
14767,32.9,41.1,9,0,0,0,0,0,0,1,16
14768,31.9,41.1,9,0,0,0,0,0,0,2,16
14769,30.9,41.1,9,0,0,0,0,0,0,3,16
14770,29.9,41.1,9,0,0,0,0,0,0,4,16
14771,32.9,41.1,9,0,0,0,0,0,0,0,17
14772,31.9,41.1,9,0,0,0,0,0,0,1,17
14773,30.9,41.1,9,0,0,0,0,0,0,2,17
14774,29.9,41.1,9,0,0,0,0,0,0,3,17
14775,31.9,41.1,9,0,0,0,0,0,0,0,18
14776,30.9,41.1,9,0,0,0,0,0,0,1,18
14777,29.9,41.1,9,0,0,0,0,0,0,2,18
14778,30.9,41.1,9,0,0,0,0,0,0,0,19
14779,29.9,41.1,9,0,0,0,0,0,0,1,19
14780,29.9,41.1,9,0,0,0,0,0,0,0,20
14781,39.8,41.2,9,0,0,0,0,0,0,10,0
14782,38.8,41.2,9,0,0,0,0,0,0,11,0
14783,37.8,41.2,9,0,0,0,0,0,0,12,0
14784,36.8,41.2,9,0,0,0,0,0,0,13,0
14785,35.8,41.2,9,0,0,0,0,0,0,14,0
14786,34.8,41.2,9,0,0,0,0,0,0,15,0
14787,33.8,41.2,9,0,0,0,0,0,0,16,0
14788,32.8,41.2,9,0,0,0,0,0,0,17,0
14789,31.8,41.2,9,0,0,0,0,0,0,18,0
14790,30.8,41.2,9,0,0,0,0,0,0,19,0
14791,29.8,41.2,9,0,0,0,0,0,0,20,0
14792,39.8,41.2,9,0,0,0,0,0,0,9,1
14793,38.8,41.2,9,0,0,0,0,0,0,10,1
14794,37.8,41.2,9,0,0,0,0,0,0,11,1
14795,36.8,41.2,9,0,0,0,0,0,0,12,1
14796,35.8,41.2,9,0,0,0,0,0,0,13,1
14797,34.8,41.2,9,0,0,0,0,0,0,14,1
14798,33.8,41.2,9,0,0,0,0,0,0,15,1
14799,32.8,41.2,9,0,0,0,0,0,0,16,1
14800,31.8,41.2,9,0,0,0,0,0,0,17,1
14801,30.8,41.2,9,0,0,0,0,0,0,18,1
14802,29.8,41.2,9,0,0,0,0,0,0,19,1
14803,39.8,41.2,9,0,0,0,0,0,0,8,2
14804,38.8,41.2,9,0,0,0,0,0,0,9,2
14805,37.8,41.2,9,0,0,0,0,0,0,10,2
14806,36.8,41.2,9,0,0,0,0,0,0,11,2
14807,35.8,41.2,9,0,0,0,0,0,0,12,2
14808,34.8,41.2,9,0,0,0,0,0,0,13,2
14809,33.8,41.2,9,0,0,0,0,0,0,14,2
14810,32.8,41.2,9,0,0,0,0,0,0,15,2
14811,31.8,41.2,9,0,0,0,0,0,0,16,2
14812,30.8,41.2,9,0,0,0,0,0,0,17,2
14813,29.8,41.2,9,0,0,0,0,0,0,18,2
14814,39.8,41.2,9,0,0,0,0,0,0,7,3
14815,38.8,41.2,9,0,0,0,0,0,0,8,3
14816,37.8,41.2,9,0,0,0,0,0,0,9,3
14817,36.8,41.2,9,0,0,0,0,0,0,10,3
14818,35.8,41.2,9,0,0,0,0,0,0,11,3
14819,34.8,41.2,9,0,0,0,0,0,0,12,3
14820,33.8,41.2,9,0,0,0,0,0,0,13,3
14821,32.8,41.2,9,0,0,0,0,0,0,14,3
14822,31.8,41.2,9,0,0,0,0,0,0,15,3
14823,30.8,41.2,9,0,0,0,0,0,0,16,3
14824,29.8,41.2,9,0,0,0,0,0,0,17,3
14825,39.8,41.2,9,0,0,0,0,0,0,6,4
14826,38.8,41.2,9,0,0,0,0,0,0,7,4
14827,37.8,41.2,9,0,0,0,0,0,0,8,4
14828,36.8,41.2,9,0,0,0,0,0,0,9,4
14829,35.8,41.2,9,0,0,0,0,0,0,10,4
14830,34.8,41.2,9,0,0,0,0,0,0,11,4
14831,33.8,41.2,9,0,0,0,0,0,0,12,4
14832,32.8,41.2,9,0,0,0,0,0,0,13,4
14833,31.8,41.2,9,0,0,0,0,0,0,14,4
14834,30.8,41.2,9,0,0,0,0,0,0,15,4
14835,29.8,41.2,9,0,0,0,0,0,0,16,4
14836,39.8,41.2,9,0,0,0,0,0,0,5,5
14837,38.8,41.2,9,0,0,0,0,0,0,6,5
14838,37.8,41.2,9,0,0,0,0,0,0,7,5
14839,36.8,41.2,9,0,0,0,0,0,0,8,5
14840,35.8,41.2,9,0,0,0,0,0,0,9,5
14841,34.8,41.2,9,0,0,0,0,0,0,10,5
14842,33.8,41.2,9,0,0,0,0,0,0,11,5
14843,32.8,41.2,9,0,0,0,0,0,0,12,5
14844,31.8,41.2,9,0,0,0,0,0,0,13,5
14845,30.8,41.2,9,0,0,0,0,0,0,14,5
14846,29.8,41.2,9,0,0,0,0,0,0,15,5
14847,39.8,41.2,9,0,0,0,0,0,0,4,6
14848,38.8,41.2,9,0,0,0,0,0,0,5,6
14849,37.8,41.2,9,0,0,0,0,0,0,6,6
14850,36.8,41.2,9,0,0,0,0,0,0,7,6
14851,35.8,41.2,9,0,0,0,0,0,0,8,6
14852,34.8,41.2,9,0,0,0,0,0,0,9,6
14853,33.8,41.2,9,0,0,0,0,0,0,10,6
14854,32.8,41.2,9,0,0,0,0,0,0,11,6
14855,31.8,41.2,9,0,0,0,0,0,0,12,6
14856,30.8,41.2,9,0,0,0,0,0,0,13,6
14857,29.8,41.2,9,0,0,0,0,0,0,14,6
14858,39.8,41.2,9,0,0,0,0,0,0,3,7
14859,38.8,41.2,9,0,0,0,0,0,0,4,7
14860,37.8,41.2,9,0,0,0,0,0,0,5,7
14861,36.8,41.2,9,0,0,0,0,0,0,6,7
14862,35.8,41.2,9,0,0,0,0,0,0,7,7
14863,34.8,41.2,9,0,0,0,0,0,0,8,7
14864,33.8,41.2,9,0,0,0,0,0,0,9,7
14865,32.8,41.2,9,0,0,0,0,0,0,10,7
14866,31.8,41.2,9,0,0,0,0,0,0,11,7
14867,30.8,41.2,9,0,0,0,0,0,0,12,7
14868,29.8,41.2,9,0,0,0,0,0,0,13,7
14869,39.8,41.2,9,0,0,0,0,0,0,2,8
14870,38.8,41.2,9,0,0,0,0,0,0,3,8
14871,37.8,41.2,9,0,0,0,0,0,0,4,8
14872,36.8,41.2,9,0,0,0,0,0,0,5,8
14873,35.8,41.2,9,0,0,0,0,0,0,6,8
14874,34.8,41.2,9,0,0,0,0,0,0,7,8
14875,33.8,41.2,9,0,0,0,0,0,0,8,8
14876,32.8,41.2,9,0,0,0,0,0,0,9,8
14877,31.8,41.2,9,0,0,0,0,0,0,10,8
14878,30.8,41.2,9,0,0,0,0,0,0,11,8
14879,29.8,41.2,9,0,0,0,0,0,0,12,8
14880,39.8,41.2,9,0,0,0,0,0,0,1,9
14881,38.8,41.2,9,0,0,0,0,0,0,2,9
14882,37.8,41.2,9,0,0,0,0,0,0,3,9
14883,36.8,41.2,9,0,0,0,0,0,0,4,9
14884,35.8,41.2,9,0,0,0,0,0,0,5,9
14885,34.8,41.2,9,0,0,0,0,0,0,6,9
14886,33.8,41.2,9,0,0,0,0,0,0,7,9
14887,32.8,41.2,9,0,0,0,0,0,0,8,9
14888,31.8,41.2,9,0,0,0,0,0,0,9,9
14889,30.8,41.2,9,0,0,0,0,0,0,10,9
14890,29.8,41.2,9,0,0,0,0,0,0,11,9
14891,39.8,41.2,9,0,0,0,0,0,0,0,10
14892,38.8,41.2,9,0,0,0,0,0,0,1,10
14893,37.8,41.2,9,0,0,0,0,0,0,2,10
14894,36.8,41.2,9,0,0,0,0,0,0,3,10
14895,35.8,41.2,9,0,0,0,0,0,0,4,10
14896,34.8,41.2,9,0,0,0,0,0,0,5,10
14897,33.8,41.2,9,0,0,0,0,0,0,6,10
14898,32.8,41.2,9,0,0,0,0,0,0,7,10
14899,31.8,41.2,9,0,0,0,0,0,0,8,10
14900,30.8,41.2,9,0,0,0,0,0,0,9,10
14901,29.8,41.2,9,0,0,0,0,0,0,10,10
14902,38.8,41.2,9,0,0,0,0,0,0,0,11
14903,37.8,41.2,9,0,0,0,0,0,0,1,11
14904,36.8,41.2,9,0,0,0,0,0,0,2,11
14905,35.8,41.2,9,0,0,0,0,0,0,3,11
14906,34.8,41.2,9,0,0,0,0,0,0,4,11
14907,33.8,41.2,9,0,0,0,0,0,0,5,11
14908,32.8,41.2,9,0,0,0,0,0,0,6,11
14909,31.8,41.2,9,0,0,0,0,0,0,7,11
14910,30.8,41.2,9,0,0,0,0,0,0,8,11
14911,29.8,41.2,9,0,0,0,0,0,0,9,11
14912,37.8,41.2,9,0,0,0,0,0,0,0,12
14913,36.8,41.2,9,0,0,0,0,0,0,1,12
14914,35.8,41.2,9,0,0,0,0,0,0,2,12
14915,34.8,41.2,9,0,0,0,0,0,0,3,12
14916,33.8,41.2,9,0,0,0,0,0,0,4,12
14917,32.8,41.2,9,0,0,0,0,0,0,5,12
14918,31.8,41.2,9,0,0,0,0,0,0,6,12
14919,30.8,41.2,9,0,0,0,0,0,0,7,12
14920,29.8,41.2,9,0,0,0,0,0,0,8,12
14921,36.8,41.2,9,0,0,0,0,0,0,0,13
14922,35.8,41.2,9,0,0,0,0,0,0,1,13
14923,34.8,41.2,9,0,0,0,0,0,0,2,13
14924,33.8,41.2,9,0,0,0,0,0,0,3,13
14925,32.8,41.2,9,0,0,0,0,0,0,4,13
14926,31.8,41.2,9,0,0,0,0,0,0,5,13
14927,30.8,41.2,9,0,0,0,0,0,0,6,13
14928,29.8,41.2,9,0,0,0,0,0,0,7,13
14929,35.8,41.2,9,0,0,0,0,0,0,0,14
14930,34.8,41.2,9,0,0,0,0,0,0,1,14
14931,33.8,41.2,9,0,0,0,0,0,0,2,14
14932,32.8,41.2,9,0,0,0,0,0,0,3,14
14933,31.8,41.2,9,0,0,0,0,0,0,4,14
14934,30.8,41.2,9,0,0,0,0,0,0,5,14
14935,29.8,41.2,9,0,0,0,0,0,0,6,14
14936,34.8,41.2,9,0,0,0,0,0,0,0,15
14937,33.8,41.2,9,0,0,0,0,0,0,1,15
14938,32.8,41.2,9,0,0,0,0,0,0,2,15
14939,31.8,41.2,9,0,0,0,0,0,0,3,15
14940,30.8,41.2,9,0,0,0,0,0,0,4,15
14941,29.8,41.2,9,0,0,0,0,0,0,5,15
14942,33.8,41.2,9,0,0,0,0,0,0,0,16
14943,32.8,41.2,9,0,0,0,0,0,0,1,16
14944,31.8,41.2,9,0,0,0,0,0,0,2,16
14945,30.8,41.2,9,0,0,0,0,0,0,3,16
14946,29.8,41.2,9,0,0,0,0,0,0,4,16
14947,32.8,41.2,9,0,0,0,0,0,0,0,17
14948,31.8,41.2,9,0,0,0,0,0,0,1,17
14949,30.8,41.2,9,0,0,0,0,0,0,2,17
14950,29.8,41.2,9,0,0,0,0,0,0,3,17
14951,31.8,41.2,9,0,0,0,0,0,0,0,18
14952,30.8,41.2,9,0,0,0,0,0,0,1,18
14953,29.8,41.2,9,0,0,0,0,0,0,2,18
14954,30.8,41.2,9,0,0,0,0,0,0,0,19
14955,29.8,41.2,9,0,0,0,0,0,0,1,19
14956,29.8,41.2,9,0,0,0,0,0,0,0,20
14957,39.7,41.3,9,0,0,0,0,0,0,10,0
14958,38.7,41.3,9,0,0,0,0,0,0,11,0
14959,37.7,41.3,9,0,0,0,0,0,0,12,0
14960,36.7,41.3,9,0,0,0,0,0,0,13,0
14961,35.7,41.3,9,0,0,0,0,0,0,14,0
14962,34.7,41.3,9,0,0,0,0,0,0,15,0
14963,33.7,41.3,9,0,0,0,0,0,0,16,0
14964,32.7,41.3,9,0,0,0,0,0,0,17,0
14965,31.7,41.3,9,0,0,0,0,0,0,18,0
14966,30.7,41.3,9,0,0,0,0,0,0,19,0
14967,29.7,41.3,9,0,0,0,0,0,0,20,0
14968,39.7,41.3,9,0,0,0,0,0,0,9,1
14969,38.7,41.3,9,0,0,0,0,0,0,10,1
14970,37.7,41.3,9,0,0,0,0,0,0,11,1
14971,36.7,41.3,9,0,0,0,0,0,0,12,1
14972,35.7,41.3,9,0,0,0,0,0,0,13,1
14973,34.7,41.3,9,0,0,0,0,0,0,14,1
14974,33.7,41.3,9,0,0,0,0,0,0,15,1
14975,32.7,41.3,9,0,0,0,0,0,0,16,1
14976,31.7,41.3,9,0,0,0,0,0,0,17,1
14977,30.7,41.3,9,0,0,0,0,0,0,18,1
14978,29.7,41.3,9,0,0,0,0,0,0,19,1
14979,39.7,41.3,9,0,0,0,0,0,0,8,2
14980,38.7,41.3,9,0,0,0,0,0,0,9,2
14981,37.7,41.3,9,0,0,0,0,0,0,10,2
14982,36.7,41.3,9,0,0,0,0,0,0,11,2
14983,35.7,41.3,9,0,0,0,0,0,0,12,2
14984,34.7,41.3,9,0,0,0,0,0,0,13,2
14985,33.7,41.3,9,0,0,0,0,0,0,14,2
14986,32.7,41.3,9,0,0,0,0,0,0,15,2
14987,31.7,41.3,9,0,0,0,0,0,0,16,2
14988,30.7,41.3,9,0,0,0,0,0,0,17,2
14989,29.7,41.3,9,0,0,0,0,0,0,18,2
14990,39.7,41.3,9,0,0,0,0,0,0,7,3
14991,38.7,41.3,9,0,0,0,0,0,0,8,3
14992,37.7,41.3,9,0,0,0,0,0,0,9,3
14993,36.7,41.3,9,0,0,0,0,0,0,10,3
14994,35.7,41.3,9,0,0,0,0,0,0,11,3
14995,34.7,41.3,9,0,0,0,0,0,0,12,3
14996,33.7,41.3,9,0,0,0,0,0,0,13,3
14997,32.7,41.3,9,0,0,0,0,0,0,14,3
14998,31.7,41.3,9,0,0,0,0,0,0,15,3
14999,30.7,41.3,9,0,0,0,0,0,0,16,3
15000,29.7,41.3,9,0,0,0,0,0,0,17,3
15001,39.7,41.3,9,0,0,0,0,0,0,6,4
15002,38.7,41.3,9,0,0,0,0,0,0,7,4
15003,37.7,41.3,9,0,0,0,0,0,0,8,4
15004,36.7,41.3,9,0,0,0,0,0,0,9,4
15005,35.7,41.3,9,0,0,0,0,0,0,10,4
15006,34.7,41.3,9,0,0,0,0,0,0,11,4
15007,33.7,41.3,9,0,0,0,0,0,0,12,4
15008,32.7,41.3,9,0,0,0,0,0,0,13,4
15009,31.7,41.3,9,0,0,0,0,0,0,14,4
15010,30.7,41.3,9,0,0,0,0,0,0,15,4
15011,29.7,41.3,9,0,0,0,0,0,0,16,4
15012,39.7,41.3,9,0,0,0,0,0,0,5,5
15013,38.7,41.3,9,0,0,0,0,0,0,6,5
15014,37.7,41.3,9,0,0,0,0,0,0,7,5
15015,36.7,41.3,9,0,0,0,0,0,0,8,5
15016,35.7,41.3,9,0,0,0,0,0,0,9,5
15017,34.7,41.3,9,0,0,0,0,0,0,10,5
15018,33.7,41.3,9,0,0,0,0,0,0,11,5
15019,32.7,41.3,9,0,0,0,0,0,0,12,5
15020,31.7,41.3,9,0,0,0,0,0,0,13,5
15021,30.7,41.3,9,0,0,0,0,0,0,14,5
15022,29.7,41.3,9,0,0,0,0,0,0,15,5
15023,39.7,41.3,9,0,0,0,0,0,0,4,6
15024,38.7,41.3,9,0,0,0,0,0,0,5,6
15025,37.7,41.3,9,0,0,0,0,0,0,6,6
15026,36.7,41.3,9,0,0,0,0,0,0,7,6
15027,35.7,41.3,9,0,0,0,0,0,0,8,6
15028,34.7,41.3,9,0,0,0,0,0,0,9,6
15029,33.7,41.3,9,0,0,0,0,0,0,10,6
15030,32.7,41.3,9,0,0,0,0,0,0,11,6
15031,31.7,41.3,9,0,0,0,0,0,0,12,6
15032,30.7,41.3,9,0,0,0,0,0,0,13,6
15033,29.7,41.3,9,0,0,0,0,0,0,14,6
15034,39.7,41.3,9,0,0,0,0,0,0,3,7
15035,38.7,41.3,9,0,0,0,0,0,0,4,7
15036,37.7,41.3,9,0,0,0,0,0,0,5,7
15037,36.7,41.3,9,0,0,0,0,0,0,6,7
15038,35.7,41.3,9,0,0,0,0,0,0,7,7
15039,34.7,41.3,9,0,0,0,0,0,0,8,7
15040,33.7,41.3,9,0,0,0,0,0,0,9,7
15041,32.7,41.3,9,0,0,0,0,0,0,10,7
15042,31.7,41.3,9,0,0,0,0,0,0,11,7
15043,30.7,41.3,9,0,0,0,0,0,0,12,7
15044,29.7,41.3,9,0,0,0,0,0,0,13,7
15045,39.7,41.3,9,0,0,0,0,0,0,2,8
15046,38.7,41.3,9,0,0,0,0,0,0,3,8
15047,37.7,41.3,9,0,0,0,0,0,0,4,8
15048,36.7,41.3,9,0,0,0,0,0,0,5,8
15049,35.7,41.3,9,0,0,0,0,0,0,6,8
15050,34.7,41.3,9,0,0,0,0,0,0,7,8
15051,33.7,41.3,9,0,0,0,0,0,0,8,8
15052,32.7,41.3,9,0,0,0,0,0,0,9,8
15053,31.7,41.3,9,0,0,0,0,0,0,10,8
15054,30.7,41.3,9,0,0,0,0,0,0,11,8
15055,29.7,41.3,9,0,0,0,0,0,0,12,8
15056,39.7,41.3,9,0,0,0,0,0,0,1,9
15057,38.7,41.3,9,0,0,0,0,0,0,2,9
15058,37.7,41.3,9,0,0,0,0,0,0,3,9
15059,36.7,41.3,9,0,0,0,0,0,0,4,9
15060,35.7,41.3,9,0,0,0,0,0,0,5,9
15061,34.7,41.3,9,0,0,0,0,0,0,6,9
15062,33.7,41.3,9,0,0,0,0,0,0,7,9
15063,32.7,41.3,9,0,0,0,0,0,0,8,9
15064,31.7,41.3,9,0,0,0,0,0,0,9,9
15065,30.7,41.3,9,0,0,0,0,0,0,10,9
15066,29.7,41.3,9,0,0,0,0,0,0,11,9
15067,39.7,41.3,9,0,0,0,0,0,0,0,10
15068,38.7,41.3,9,0,0,0,0,0,0,1,10
15069,37.7,41.3,9,0,0,0,0,0,0,2,10
15070,36.7,41.3,9,0,0,0,0,0,0,3,10
15071,35.7,41.3,9,0,0,0,0,0,0,4,10
15072,34.7,41.3,9,0,0,0,0,0,0,5,10
15073,33.7,41.3,9,0,0,0,0,0,0,6,10
15074,32.7,41.3,9,0,0,0,0,0,0,7,10
15075,31.7,41.3,9,0,0,0,0,0,0,8,10
15076,30.7,41.3,9,0,0,0,0,0,0,9,10
15077,29.7,41.3,9,0,0,0,0,0,0,10,10
15078,38.7,41.3,9,0,0,0,0,0,0,0,11
15079,37.7,41.3,9,0,0,0,0,0,0,1,11
15080,36.7,41.3,9,0,0,0,0,0,0,2,11
15081,35.7,41.3,9,0,0,0,0,0,0,3,11
15082,34.7,41.3,9,0,0,0,0,0,0,4,11
15083,33.7,41.3,9,0,0,0,0,0,0,5,11
15084,32.7,41.3,9,0,0,0,0,0,0,6,11
15085,31.7,41.3,9,0,0,0,0,0,0,7,11
15086,30.7,41.3,9,0,0,0,0,0,0,8,11
15087,29.7,41.3,9,0,0,0,0,0,0,9,11
15088,37.7,41.3,9,0,0,0,0,0,0,0,12
15089,36.7,41.3,9,0,0,0,0,0,0,1,12
15090,35.7,41.3,9,0,0,0,0,0,0,2,12
15091,34.7,41.3,9,0,0,0,0,0,0,3,12
15092,33.7,41.3,9,0,0,0,0,0,0,4,12
15093,32.7,41.3,9,0,0,0,0,0,0,5,12
15094,31.7,41.3,9,0,0,0,0,0,0,6,12
15095,30.7,41.3,9,0,0,0,0,0,0,7,12
15096,29.7,41.3,9,0,0,0,0,0,0,8,12
15097,36.7,41.3,9,0,0,0,0,0,0,0,13
15098,35.7,41.3,9,0,0,0,0,0,0,1,13
15099,34.7,41.3,9,0,0,0,0,0,0,2,13
15100,33.7,41.3,9,0,0,0,0,0,0,3,13
15101,32.7,41.3,9,0,0,0,0,0,0,4,13
15102,31.7,41.3,9,0,0,0,0,0,0,5,13
15103,30.7,41.3,9,0,0,0,0,0,0,6,13
15104,29.7,41.3,9,0,0,0,0,0,0,7,13
15105,35.7,41.3,9,0,0,0,0,0,0,0,14
15106,34.7,41.3,9,0,0,0,0,0,0,1,14
15107,33.7,41.3,9,0,0,0,0,0,0,2,14
15108,32.7,41.3,9,0,0,0,0,0,0,3,14
15109,31.7,41.3,9,0,0,0,0,0,0,4,14
15110,30.7,41.3,9,0,0,0,0,0,0,5,14
15111,29.7,41.3,9,0,0,0,0,0,0,6,14
15112,34.7,41.3,9,0,0,0,0,0,0,0,15
15113,33.7,41.3,9,0,0,0,0,0,0,1,15
15114,32.7,41.3,9,0,0,0,0,0,0,2,15
15115,31.7,41.3,9,0,0,0,0,0,0,3,15
15116,30.7,41.3,9,0,0,0,0,0,0,4,15
15117,29.7,41.3,9,0,0,0,0,0,0,5,15
15118,33.7,41.3,9,0,0,0,0,0,0,0,16
15119,32.7,41.3,9,0,0,0,0,0,0,1,16
15120,31.7,41.3,9,0,0,0,0,0,0,2,16
15121,30.7,41.3,9,0,0,0,0,0,0,3,16
15122,29.7,41.3,9,0,0,0,0,0,0,4,16
15123,32.7,41.3,9,0,0,0,0,0,0,0,17
15124,31.7,41.3,9,0,0,0,0,0,0,1,17
15125,30.7,41.3,9,0,0,0,0,0,0,2,17
15126,29.7,41.3,9,0,0,0,0,0,0,3,17
15127,31.7,41.3,9,0,0,0,0,0,0,0,18
15128,30.7,41.3,9,0,0,0,0,0,0,1,18
15129,29.7,41.3,9,0,0,0,0,0,0,2,18
15130,30.7,41.3,9,0,0,0,0,0,0,0,19
15131,29.7,41.3,9,0,0,0,0,0,0,1,19
15132,29.7,41.3,9,0,0,0,0,0,0,0,20
15133,39.6,41.4,9,0,0,0,0,0,0,10,0
15134,38.6,41.4,9,0,0,0,0,0,0,11,0
15135,37.6,41.4,9,0,0,0,0,0,0,12,0
15136,36.6,41.4,9,0,0,0,0,0,0,13,0
15137,35.6,41.4,9,0,0,0,0,0,0,14,0
15138,34.6,41.4,9,0,0,0,0,0,0,15,0
15139,33.6,41.4,9,0,0,0,0,0,0,16,0
15140,32.6,41.4,9,0,0,0,0,0,0,17,0
15141,31.6,41.4,9,0,0,0,0,0,0,18,0
15142,30.6,41.4,9,0,0,0,0,0,0,19,0
15143,29.6,41.4,9,0,0,0,0,0,0,20,0
15144,39.6,41.4,9,0,0,0,0,0,0,9,1
15145,38.6,41.4,9,0,0,0,0,0,0,10,1
15146,37.6,41.4,9,0,0,0,0,0,0,11,1
15147,36.6,41.4,9,0,0,0,0,0,0,12,1
15148,35.6,41.4,9,0,0,0,0,0,0,13,1
15149,34.6,41.4,9,0,0,0,0,0,0,14,1
15150,33.6,41.4,9,0,0,0,0,0,0,15,1
15151,32.6,41.4,9,0,0,0,0,0,0,16,1
15152,31.6,41.4,9,0,0,0,0,0,0,17,1
15153,30.6,41.4,9,0,0,0,0,0,0,18,1
15154,29.6,41.4,9,0,0,0,0,0,0,19,1
15155,39.6,41.4,9,0,0,0,0,0,0,8,2
15156,38.6,41.4,9,0,0,0,0,0,0,9,2
15157,37.6,41.4,9,0,0,0,0,0,0,10,2
15158,36.6,41.4,9,0,0,0,0,0,0,11,2
15159,35.6,41.4,9,0,0,0,0,0,0,12,2
15160,34.6,41.4,9,0,0,0,0,0,0,13,2
15161,33.6,41.4,9,0,0,0,0,0,0,14,2
15162,32.6,41.4,9,0,0,0,0,0,0,15,2
15163,31.6,41.4,9,0,0,0,0,0,0,16,2
15164,30.6,41.4,9,0,0,0,0,0,0,17,2
15165,29.6,41.4,9,0,0,0,0,0,0,18,2
15166,39.6,41.4,9,0,0,0,0,0,0,7,3
15167,38.6,41.4,9,0,0,0,0,0,0,8,3
15168,37.6,41.4,9,0,0,0,0,0,0,9,3
15169,36.6,41.4,9,0,0,0,0,0,0,10,3
15170,35.6,41.4,9,0,0,0,0,0,0,11,3
15171,34.6,41.4,9,0,0,0,0,0,0,12,3
15172,33.6,41.4,9,0,0,0,0,0,0,13,3
15173,32.6,41.4,9,0,0,0,0,0,0,14,3
15174,31.6,41.4,9,0,0,0,0,0,0,15,3
15175,30.6,41.4,9,0,0,0,0,0,0,16,3
15176,29.6,41.4,9,0,0,0,0,0,0,17,3
15177,39.6,41.4,9,0,0,0,0,0,0,6,4
15178,38.6,41.4,9,0,0,0,0,0,0,7,4
15179,37.6,41.4,9,0,0,0,0,0,0,8,4
15180,36.6,41.4,9,0,0,0,0,0,0,9,4
15181,35.6,41.4,9,0,0,0,0,0,0,10,4
