,Ti,Ni,Cu,Hf,Zr,hp1,hp2,hpVary
64,46.0,41.0,10,2,1,-43.83341351876152,55.83945748732367,99.67287100608519
65,47.0,48.0,3,0,2,70.2570713806781,-29.59015753240965,99.84722891308775
66,46.0,44.0,7,3,0,-45.359768730646465,54.670769959062454,100.03053868970892
67,47.0,51.0,0,1,1,68.68821912201383,-31.516677474748576,100.20489659676241
68,46.0,42.0,9,2,1,57.07481071917573,-44.03624354634667,101.1110542655224
69,47.0,49.0,2,0,2,71.55384500741638,-29.731567165013985,101.28541217243037
70,46.0,45.0,6,3,0,56.02865731946804,-45.44006462980178,101.46872194926982
71,46.0,43.0,8,2,1,58.367794449062785,-44.18144307602779,102.54923752509058
72,47.0,50.0,1,0,2,-29.815346299641533,72.90824913223332,102.72359543187486
73,46.0,46.0,5,3,0,57.44417517788679,-45.46273003082024,102.90690520870703
74,46.0,41.0,10,1,2,-43.02212546186638,60.60762763889943,103.62975310076581
75,46.0,44.0,7,2,1,59.71840867681749,-44.269012107659364,103.98742078447685
76,47.0,51.0,0,0,2,-29.84149493651057,74.32028375491063,104.1617786914212
77,46.0,47.0,4,3,0,58.91732353420957,-45.427764933992876,104.34508846820245
78,46.0,42.0,9,1,2,61.89333823601919,-43.174598124052864,105.06793636007205
79,46.0,45.0,6,2,1,-44.298950641357806,61.126653402563534,105.42560404392134
80,46.0,48.0,3,3,0,-45.33516933910141,60.4481023885528,105.78327172765421
81,46.0,43.0,8,1,2,63.236679331210325,-43.269440288393525,106.50611961960385
82,46.0,46.0,5,2,1,62.59252862624999,-44.2712586770358,106.86378730328579
83,46.0,49.0,2,3,0,-45.184943246407784,62.0365117408146,107.22145498722239
84,46.0,41.0,10,0,3,65.2474013201936,-42.339233875245554,107.58663519543916
85,46.0,44.0,7,1,2,-43.30665195481561,64.63765092429094,107.94430287910654
86,46.0,47.0,4,2,1,64.11603434793506,-44.185936214911635,108.30197056284669
87,46.0,50.0,1,3,0,-44.97708665553364,63.68255159106775,108.65963824660139
88,46.0,42.0,9,0,3,66.58346928267565,-42.44134917217889,109.02481845485454
89,46.0,45.0,6,1,2,-43.28623312329,66.09625301534834,109.38248613863834
90,45.0,41.0,10,4,0,-59.09503597571165,50.47075993964245,109.5657959153541
91,46.0,48.0,3,2,1,-44.042983254781575,65.69717056754598,109.74015382232756
92,46.0,51.0,0,3,0,-44.71159956677002,65.38622193929768,110.0978215060677
